año,mes,periodo,codigo_distribuidora,codigo_agencia,meta_venta,meta_unidades
2024,1,202401,DIST_001,AGN-101,47323220.0,13403
2024,1,202401,DIST-001,AGN-102,35338034.0,14141
2024,1,202401,DIST_001,AGN-103,35390512.0,6686
2024,1,202401,DIST-002,AGC-201,44834505.0,16998
2024,1,202401,DIST_002,AGC-202,84848658.0,15576
2024,1,202401,DIST_002,AGC-203,64910967.0,19967
2024,1,202401,DIST-002,AGC-204,55613962.0,11778
2024,1,202401,DIST-003,AGS-301,50561854.0,17046
2024,1,202401,DIST-003,AGS-302,84053339.0,5351
2024,1,202401,DIST-003,AGS-303,76609930.0,9887
2024,1,202401,DIST-003,AGS-304,62252712.0,7125
2024,1,202401,DIST_003,AGS-305,52017147.0,9102
2024,1,202401,DIST-004,AGO-401,69237217.0,10561
2024,1,202401,DIST-004,AGO-402,43498608.0,11117
2024,1,202401,DIST-004,AGO-403,78427906.0,13473
2024,1,202401,DIST-005,AGW-501,53331950.0,17794
2024,1,202401,DIST-005,AGW-502,75498405.0,10175
2024,1,202401,DIST_005,AGW-503,42029310.0,18346
2024,1,202401,DIST-005,AGW-504,59940310.0,13182
2024,1,202401,DIST_006,AGU-601,60078593.0,5706
2024,1,202401,DIST-006,AGU-602,35952035.0,10737
2024,1,202401,DIST_006,AGU-603,76151681.0,17070
2024,1,202401,DIST_007,AGE-701,56117695.0,10103
2024,1,202401,DIST_007,AGE-702,45861111.0,15121
2024,1,202401,DIST_007,AGE-703,48764123.0,17247
2024,1,202401,DIST-007,AGE-704,60741770.0,8469
2024,1,202401,DIST-008,AGM-801,61040242.0,11225
2024,1,202401,DIST-008,AGM-802,54840701.0,11664
2024,1,202401,DIST_008,AGM-803,73686726.0,6519
2024,1,202401,DIST_008,AGM-804,41555530.0,11796
2024,1,202401,DIST-008,AGM-805,78772014.0,18512
2024,1,202401,DIST-009,AGA-901,45289305.0,18426
2024,1,202401,DIST-009,AGA-902,56593432.0,13866
2024,1,202401,DIST_009,AGA-903,73475242.0,18069
2024,1,202401,DIST_010,AGP-1001,59153804.0,5710
2024,1,202401,DIST-010,AGP-1002,51334461.0,13338
2024,1,202401,DIST-010,AGP-1003,50286571.0,5273
2024,1,202401,DIST-010,AGP-1004,57927583.0,11832
2024,2,202402,DIST-001,AGN-101,52128242.0,6046
2024,2,202402,DIST-001,AGN-102,50212747.0,17598
2024,2,202402,DIST-001,AGN-103,53121398.0,17204
2024,2,202402,DIST_002,AGC-201,77403137.0,15056
2024,2,202402,DIST_002,AGC-202,27416033.0,19375
2024,2,202402,DIST-002,AGC-203,59417723.0,15594
2024,2,202402,DIST-002,AGC-204,48449564.0,12038
2024,2,202402,DIST-003,AGS-301,32758911.0,12294
2024,2,202402,DIST-003,AGS-302,55556895.0,17023
2024,2,202402,DIST_003,AGS-303,38185494.0,8912
2024,2,202402,DIST_003,AGS-304,50305557.0,13178
2024,2,202402,DIST-003,AGS-305,60655103.0,11696
2024,2,202402,DIST-004,AGO-401,29467021.0,14774
2024,2,202402,DIST-004,AGO-402,40130395.0,19720
2024,2,202402,DIST-004,AGO-403,79849663.0,6323
2024,2,202402,DIST-005,AGW-501,66221251.0,11500
2024,2,202402,DIST-005,AGW-502,44251687.0,18527
2024,2,202402,DIST-005,AGW-503,72247079.0,11710
2024,2,202402,DIST-005,AGW-504,27343093.0,14034
2024,2,202402,DIST_006,AGU-601,31361852.0,7206
2024,2,202402,DIST-006,AGU-602,46365067.0,7187
2024,2,202402,DIST-006,AGU-603,31475133.0,16017
2024,2,202402,DIST-007,AGE-701,33068710.0,5245
2024,2,202402,DIST-007,AGE-702,37027556.0,5282
2024,2,202402,DIST_007,AGE-703,65028679.0,11201
2024,2,202402,DIST_007,AGE-704,44999863.0,14522
2024,2,202402,DIST-008,AGM-801,45836291.0,12391
2024,2,202402,DIST-008,AGM-802,59436078.0,12458
2024,2,202402,DIST-008,AGM-803,54760741.0,8682
2024,2,202402,DIST_008,AGM-804,39940218.0,8762
2024,2,202402,DIST-008,AGM-805,38045108.0,19428
2024,2,202402,DIST-009,AGA-901,43826456.0,18536
2024,2,202402,DIST-009,AGA-902,44905120.0,16485
2024,2,202402,DIST-009,AGA-903,79411102.0,16902
2024,2,202402,DIST_010,AGP-1001,30770829.0,17374
2024,2,202402,DIST_010,AGP-1002,70844540.0,15899
